gid,visteam,hometeam,date,attendance,gametype,season
HIL192610010,ALN,HIL,1926-10-01,0,exhibition,1926
ACY192610020,CAG,ACY,1926-10-02,1956,championship,1926
HIL192610020,ALN,HIL,1926-10-02,0,exhibition,1926
ACY192610030,CAG,ACY,1926-10-03,2859,championship,1926
HOM192610030,ALN,HOM,1926-10-03,6000,exhibition,1926
ACY192610040,CAG,ACY,1926-10-04,2121,championship,1926
HOM192610040,ALN,HOM,1926-10-04,0,exhibition,1926
ACY192610050,CAG,ACY,1926-10-05,1434,championship,1926
ACY192610060,CAG,ACY,1926-10-06,1186,championship,1926
ALN192610060,HIL,ALN,1926-10-06,0,exhibition,1926
ALN192610070,HIL,ALN,1926-10-07,5000,exhibition,1926
ALN192610080,HIL,ALN,1926-10-08,0,exhibition,1926
CAG192610090,ACY,CAG,1926-10-09,2308,championship,1926
HIL192610090,ALN,HIL,1926-10-09,0,exhibition,1926
CAG192610100,ACY,CAG,1926-10-10,3620,championship,1926
BRS192610110,BRG,BRS,1926-10-11,2500,exhibition,1926
CAG192610110,ACY,CAG,1926-10-11,905,championship,1926
HOM192610110,ALN,HOM,1926-10-11,0,exhibition,1926
CAG192610130,ACY,CAG,1926-10-13,733,championship,1926
CAG192610140,ACY,CAG,1926-10-14,2089,championship,1926
PRG192610230,PIR,PRG,1926-10-23,4000,exhibition,1926
PRG192610240,PIR,PRG,1926-10-24,7500,exhibition,1926
PRG192611130,PIR,PRG,1926-11-13,0,exhibition,1926
PRG192611140,PIR,PRG,1926-11-14,0,exhibition,1926
PRG192612051,PIR,PRG,1926-12-05,0,exhibition,1926
PRG192612052,PIR,PRG,1926-12-05,0,exhibition,1926
PRG192612190,PIR,PRG,1926-12-19,0,exhibition,1926
PRG192612250,PIR,PRG,1926-12-25,0,exhibition,1926
PRG192612260,PIR,PRG,1926-12-26,0,exhibition,1926
CUE192705090,HIL,CUE,1927-05-09,2000,regular,1927
BIR192709190,CAG,BIR,1927-09-19,0,lcs,1927
BIR192709200,CAG,BIR,1927-09-20,0,lcs,1927
BIR192709210,CAG,BIR,1927-09-21,0,lcs,1927
CAG192709240,BIR,CAG,1927-09-24,0,lcs,1927
CAG192709250,BIR,CAG,1927-09-25,0,lcs,1927
CAG192710010,ACY,CAG,1927-10-01,0,championship,1927
CAG192710020,ACY,CAG,1927-10-02,0,championship,1927
CAG192710030,ACY,CAG,1927-10-03,0,championship,1927
CAG192710040,ACY,CAG,1927-10-04,0,championship,1927
HOM192710040,ALN,HOM,1927-10-04,0,exhibition,1927
HOM192710050,ALN,HOM,1927-10-05,0,exhibition,1927
HOM192710070,ALN,HOM,1927-10-07,0,exhibition,1927
ACY192710080,CAG,ACY,1927-10-08,0,championship,1927
HOM192710080,ALN,HOM,1927-10-08,2000,exhibition,1927
BLS192710090,ASB,BLS,1927-10-09,0,exhibition,1927
HOM192710090,ALN,HOM,1927-10-09,0,exhibition,1927
ACY192710100,CAG,ACY,1927-10-10,0,championship,1927
HOM192710100,ALN,HOM,1927-10-10,1000,exhibition,1927
ACY192710110,CAG,ACY,1927-10-11,0,championship,1927
ACY192710120,CAG,ACY,1927-10-12,0,championship,1927
ACY192710130,CAG,ACY,1927-10-13,0,championship,1927
BLS192710160,ASB,BLS,1927-10-16,5000,exhibition,1927
HIL192710160,PIR,HIL,1927-10-16,0,exhibition,1927
ACY192710210,ALN,ACY,1927-10-21,0,exhibition,1927
BLS192710230,ASB,BLS,1927-10-23,5000,exhibition,1927
HIL192710230,PIR,HIL,1927-10-23,7000,exhibition,1927
HIL192710290,PIR,HIL,1927-10-29,0,exhibition,1927
BLS192710300,ASB,BLS,1927-10-30,5000,exhibition,1927
HIL192710300,PIR,HIL,1927-10-30,0,exhibition,1927
CAG192809220,SSN,CAG,1928-09-22,0,lcs,1928
CAG192809230,SSN,CAG,1928-09-23,0,lcs,1928
CAG192809240,SSN,CAG,1928-09-24,0,lcs,1928
CAG192809250,SSN,CAG,1928-09-25,0,lcs,1928
SSN192809290,CAG,SSN,1928-09-29,0,lcs,1928
SSN192809300,CAG,SSN,1928-09-30,0,lcs,1928
SSN192810050,CAG,SSN,1928-10-05,0,lcs,1928
HIL192810060,MLS,HIL,1928-10-06,0,exhibition,1928
BLS192810070,ASB,BLS,1928-10-07,7000,exhibition,1928
CLG192810070,PIR,CLG,1928-10-07,6000,exhibition,1928
HOM192810070,ALN,HOM,1928-10-07,3500,exhibition,1928
HOM192810080,ALN,HOM,1928-10-08,0,exhibition,1928
MLS192810080,HIL,MLS,1928-10-08,0,exhibition,1928
HOM192810090,ALN,HOM,1928-10-09,0,exhibition,1928
HOM192810100,ALN,HOM,1928-10-10,0,exhibition,1928
HOM192810110,ALN,HOM,1928-10-11,0,exhibition,1928
HOM192810120,ALN,HOM,1928-10-12,0,exhibition,1928
HOM192810130,ALN,HOM,1928-10-13,500,exhibition,1928
BLS192810140,ASB,BLS,1928-10-14,0,exhibition,1928
HOM192810140,ALN,HOM,1928-10-14,2000,exhibition,1928
BLS192810211,ASB,BLS,1928-10-21,0,exhibition,1928
BLS192810280,ASB,BLS,1928-10-28,0,exhibition,1928
NYL192906061,BLS,NYL,1929-06-06,6500,regular,1929
NYL192906062,BLS,NYL,1929-06-06,6500,regular,1929
CAG192906092,SSN,CAG,1929-06-09,6000,regular,1929
BLS192909291,ASB,BLS,1929-09-29,0,exhibition,1929
BLS192909292,ASB,BLS,1929-09-29,0,exhibition,1929
BLS192910061,ASB,BLS,1929-10-06,0,exhibition,1929
BLS192910062,ASB,BLS,1929-10-06,0,exhibition,1929
CAG192910120,ALN,CAG,1929-10-12,4700,exhibition,1929
BLS192910131,ASB,BLS,1929-10-13,0,exhibition,1929
BLS192910132,ASB,BLS,1929-10-13,0,exhibition,1929
CAG192910130,ALN,CAG,1929-10-13,0,exhibition,1929
NYL192910131,ASL,NYL,1929-10-13,8000,exhibition,1929
NYL192910132,ASL,NYL,1929-10-13,8000,exhibition,1929
CAG192910140,ALN,CAG,1929-10-14,0,exhibition,1929
CAG192910150,ALN,CAG,1929-10-15,0,exhibition,1929
CAG192910170,ALN,CAG,1929-10-17,0,exhibition,1929
PRG192910190,PIR,PRG,1929-10-19,0,exhibition,1929
BLS192910201,ASB,BLS,1929-10-20,0,exhibition,1929
BLS192910202,ASB,BLS,1929-10-20,0,exhibition,1929
PRG192910200,PIR,PRG,1929-10-20,8000,exhibition,1929
BLS192910270,ASB,BLS,1929-10-27,7000,exhibition,1929
PRG192910310,PIR,PRG,1929-10-31,0,exhibition,1929
PRG192911020,PIR,PRG,1929-11-02,0,exhibition,1929
PRG192911030,PIR,PRG,1929-11-03,0,exhibition,1929
SSN193004190,HOM,SSN,1930-04-19,2000,exhibition,1930
SSN193004210,HOM,SSN,1930-04-21,2000,exhibition,1930
NYL193007051,BLS,NYL,1930-07-05,0,exhibition,1930
NYL193007052,BLS,NYL,1930-07-05,0,exhibition,1930
HOM193007180,KCM,HOM,1930-07-18,5900,exhibition,1930
HOM193007191,KCM,HOM,1930-07-19,4000,exhibition,1930
HOM193007192,KCM,HOM,1930-07-19,4000,exhibition,1930
KCM193008020,HOM,KCM,1930-08-02,0,exhibition,1930
HOM193008210,DT1,HOM,1930-08-21,500,championship,1930
DT1193008220,HOM,DT1,1930-08-22,0,championship,1930
DT1193008270,HOM,DT1,1930-08-27,0,championship,1930
DT1193008280,HOM,DT1,1930-08-28,0,championship,1930
SSN193008300,HOM,SSN,1930-08-30,0,championship,1930
SSN193008310,HOM,SSN,1930-08-31,0,championship,1930
SSN193009010,HOM,SSN,1930-09-01,0,championship,1930
SSN193009020,HOM,SSN,1930-09-02,6000,championship,1930
SSN193009030,HOM,SSN,1930-09-03,5000,championship,1930
SSN193009130,DT1,SSN,1930-09-13,5000,lcs,1930
SSN193009150,DT1,SSN,1930-09-15,0,lcs,1930
SSN193009160,DT1,SSN,1930-09-16,0,lcs,1930
SSN193009170,DT1,SSN,1930-09-17,0,lcs,1930
DT1193009200,SSN,DT1,1930-09-20,0,lcs,1930
HOM193009201,NYL,HOM,1930-09-20,3000,championship,1930
HOM193009202,NYL,HOM,1930-09-20,0,championship,1930
DT1193009210,SSN,DT1,1930-09-21,0,lcs,1930
NYL193009211,HOM,NYL,1930-09-21,0,championship,1930
NYL193009212,HOM,NYL,1930-09-21,0,championship,1930
DT1193009220,SSN,DT1,1930-09-22,0,lcs,1930
NYL193009250,HOM,NYL,1930-09-25,0,championship,1930
NYL193009271,HOM,NYL,1930-09-27,0,exhibition,1930
NYL193009272,HOM,NYL,1930-09-27,0,exhibition,1930
NYL193009281,HOM,NYL,1930-09-28,0,championship,1930
NYL193009282,HOM,NYL,1930-09-28,0,championship,1930
SSN193010040,ASC,SSN,1930-10-04,0,exhibition,1930
BLS193010051,ASB,BLS,1930-10-05,0,exhibition,1930
BLS193010052,ASB,BLS,1930-10-05,0,exhibition,1930
CAG193010050,ALN,CAG,1930-10-05,0,exhibition,1930
SSN193010050,ASC,SSN,1930-10-05,0,exhibition,1930
BLS193010120,ASB,BLS,1930-10-12,0,exhibition,1930
BLS193010191,ASB,BLS,1930-10-19,2500,exhibition,1930
BLS193010192,ASB,BLS,1930-10-19,2500,exhibition,1930
BLS193010260,ASB,BLS,1930-10-26,0,exhibition,1930
PRG193010290,ASG,PRG,1930-10-29,10129,exhibition,1930
PRG193011010,KLK,PRG,1930-11-01,0,exhibition,1930
NSH193011020,PIR,NSH,1930-11-02,0,exhibition,1930
PRG193011021,KLK,PRG,1930-11-02,0,exhibition,1930
PRG193011022,KLK,PRG,1930-11-02,3000,exhibition,1930
PRG193011230,KLK,PRG,1930-11-23,0,exhibition,1930
SSN193110010,ASC,SSN,1931-10-01,4000,exhibition,1931
SSN193110020,ASC,SSN,1931-10-02,5000,exhibition,1931
MLS193110030,HIL,MLS,1931-10-03,3500,exhibition,1931
ASO193110040,HOM,ASO,1931-10-04,4000,exhibition,1931
BLS193110040,ASB,BLS,1931-10-04,0,exhibition,1931
KCM193110040,ASC,KCM,1931-10-04,0,exhibition,1931
MLS193110040,HIL,MLS,1931-10-04,3000,exhibition,1931
HIL193110101,MLS,HIL,1931-10-10,3000,exhibition,1931
BLS193110111,ASB,BLS,1931-10-11,0,exhibition,1931
BLS193110112,ASB,BLS,1931-10-11,0,exhibition,1931
MLS193110111,HIL,MLS,1931-10-11,3000,exhibition,1931
MLS193110112,HIL,MLS,1931-10-11,3000,exhibition,1931
PRG193110150,PIR,PRG,1931-10-15,0,exhibition,1931
PRG193110170,PIR,PRG,1931-10-17,0,exhibition,1931
BLS193110180,ASB,BLS,1931-10-18,0,exhibition,1931
BLS193110250,ASB,BLS,1931-10-25,0,exhibition,1931
WSW193207250,PTC,WSW,1932-07-25,4000,regular,1932
NSH193209180,CAG,NSH,1932-09-18,3500,lcs,1932
PTC193209190,HOM,PTC,1932-09-19,3000,exhibition,1932
PTC193209270,NLN,PTC,1932-09-27,1500,exhibition,1932
PTC193209280,NLN,PTC,1932-09-28,0,exhibition,1932
PTC193210011,NLN,PTC,1932-10-01,0,exhibition,1932
PTC193210012,NLN,PTC,1932-10-01,0,exhibition,1932
PTC193210021,NLN,PTC,1932-10-02,0,exhibition,1932
PTC193210022,NLN,PTC,1932-10-02,0,exhibition,1932
NSH193210060,CAG,NSH,1932-10-06,0,lcs,1932
BLS193210091,ASB,BLS,1932-10-09,0,exhibition,1932
BLS193210161,ASB,BLS,1932-10-16,0,exhibition,1932
BLS193210230,ASB,BLS,1932-10-23,0,exhibition,1932
PTC193307231,CAG,PTC,1933-07-23,7000,regular,1933
PTC193307232,CAG,PTC,1933-07-23,7000,regular,1933
ASW193309100,ASE,ASW,1933-09-10,15000,allstar,1933
BLS193309171,ASB,BLS,1933-09-17,0,exhibition,1933
BLS193309172,ASB,BLS,1933-09-17,0,exhibition,1933
KCM193310020,ASD,KCM,1933-10-02,8000,exhibition,1933
CAG193310050,SHV,CAG,1933-10-05,0,exhibition,1933
ASD193310060,KCM,ASD,1933-10-06,1300,exhibition,1933
KCM193310080,ASD,KCM,1933-10-08,3500,exhibition,1933
ASD193310100,KCM,ASD,1933-10-10,0,exhibition,1933
ASD193310110,KCM,ASD,1933-10-11,0,exhibition,1933
BLS193310151,ASB,BLS,1933-10-15,0,exhibition,1933
KCM193310150,ASD,KCM,1933-10-15,3000,exhibition,1933
PRG193310151,PIR,PRG,1933-10-15,0,exhibition,1933
PRG193310152,PIR,PRG,1933-10-15,0,exhibition,1933
PRG193310291,PIR,PRG,1933-10-29,0,exhibition,1933
PRG193310292,PIR,PRG,1933-10-29,0,exhibition,1933
PRG193311121,PIR,PRG,1933-11-12,0,exhibition,1933
PRG193311122,PIR,PRG,1933-11-12,0,exhibition,1933
PTC193407041,HOM,PTC,1934-07-04,12000,exhibition,1934
ASW193408260,ASE,ASW,1934-08-26,25000,allstar,1934
NY5193409091,CAG,NY5,1934-09-09,30000,exhibition,1934
PH5193409092,PTC,PH5,1934-09-09,30000,exhibition,1934
PH5193409110,CAG,PH5,1934-09-11,0,lcs,1934
CAG193409161,PH5,CAG,1934-09-16,0,lcs,1934
PH5193409270,CAG,PH5,1934-09-27,5000,lcs,1934
PH5193409290,CAG,PH5,1934-09-29,3000,lcs,1934
NY5193409302,CAG,NY5,1934-09-30,25000,exhibition,1934
PTC193409301,PH5,PTC,1934-09-30,25000,exhibition,1934
PH5193410010,CAG,PH5,1934-10-01,5000,lcs,1934
PH5193410020,CAG,PH5,1934-10-02,2000,lcs,1934
ASD193410120,KCM,ASD,1934-10-12,14000,exhibition,1934
PRG193410130,PIR,PRG,1934-10-13,0,exhibition,1934
CHM193410140,KCM,CHM,1934-10-14,20000,exhibition,1934
PRG193410141,PIR,PRG,1934-10-14,2500,exhibition,1934
PRG193410142,PIR,PRG,1934-10-14,2500,exhibition,1934
BKB193410170,NY5,BKB,1934-10-17,0,exhibition,1934
PRG193410200,WHK,PRG,1934-10-20,0,exhibition,1934
PRG193410211,WHK,PRG,1934-10-21,0,exhibition,1934
NNS193410230,ASD,NNS,1934-10-23,2500,exhibition,1934
PRG193410270,PIR,PRG,1934-10-27,0,exhibition,1934
PRG193410281,PIR,PRG,1934-10-28,0,exhibition,1934
PRG193411040,WHK,PRG,1934-11-04,0,exhibition,1934
BIS193506060,KCM,BIS,1935-06-06,0,exhibition,1935
ASW193508110,ASE,ASW,1935-08-11,25000,allstar,1935
NY6193509130,PTC,NY6,1935-09-13,7500,lcs,1935
NY6193509140,PTC,NY6,1935-09-14,10000,lcs,1935
NY6193509150,PTC,NY6,1935-09-15,7000,lcs,1935
PTC193509180,NY6,PTC,1935-09-18,0,lcs,1935
PTC193509190,NY6,PTC,1935-09-19,0,lcs,1935
PTC193509200,NY6,PTC,1935-09-20,0,lcs,1935
NY6193509210,PTC,NY6,1935-09-21,0,lcs,1935
NY6193509221,NSH,NY6,1935-09-22,15000,exhibition,1935
PH5193509222,PTC,PH5,1935-09-22,15000,exhibition,1935
NY6193509291,BRS,NY6,1935-09-29,0,exhibition,1935
SAS193509290,NAS,SAS,1935-09-29,3800,allstar,1935
ASD193510060,KCM,ASD,1935-10-06,2500,exhibition,1935
SHR193510090,PTC,SHR,1935-10-09,3000,exhibition,1935
MLS193510121,NNS,MLS,1935-10-12,2500,exhibition,1935
MLS193510122,NNS,MLS,1935-10-12,2500,exhibition,1935
KCM193510130,MLS,KCM,1935-10-13,1200,exhibition,1935
NNS193510131,ASD,NNS,1935-10-13,15000,exhibition,1935
NNS193510132,ASD,NNS,1935-10-13,15000,exhibition,1935
ASD193510140,NNS,ASD,1935-10-14,0,exhibition,1935
PRG193510190,PIR,PRG,1935-10-19,0,exhibition,1935
PRG193510201,PIR,PRG,1935-10-20,7500,exhibition,1935
PRG193510202,PIR,PRG,1935-10-20,7500,exhibition,1935
ALM193510250,PTC,ALM,1935-10-25,0,exhibition,1935
ALM193510260,PTC,ALM,1935-10-26,13000,exhibition,1935
ALM193510270,PTC,ALM,1935-10-27,0,exhibition,1935
ASD193510310,PRG,ASD,1935-10-31,7000,exhibition,1935
PRG193511101,PIR,PRG,1935-11-10,3000,exhibition,1935
PRG193511102,PIR,PRG,1935-11-10,3000,exhibition,1935
ASW193608230,ASE,ASW,1936-08-23,26400,allstar,1936
PTC193609121,NW2,PTC,1936-09-12,0,championship,1936
PTC193609122,NW2,PTC,1936-09-12,0,championship,1936
PTC193609131,NW2,PTC,1936-09-13,0,championship,1936
PTC193609132,NW2,PTC,1936-09-13,0,championship,1936
PTC193609150,NW2,PTC,1936-09-15,0,championship,1936
PH5193609170,WEG,PH5,1936-09-17,0,championship,1936
NY5193609202,PTC,NY5,1936-09-20,25000,exhibition,1936
PH5193609201,WEG,PH5,1936-09-20,20000,exhibition,1936
NNS193610010,MLS,NNS,1936-10-01,2945,exhibition,1936
MLS193610020,NNS,MLS,1936-10-02,3500,exhibition,1936
MLS193610041,NNS,MLS,1936-10-04,0,exhibition,1936
NNS193610042,MLS,NNS,1936-10-04,0,exhibition,1936
MLS193610070,NNS,MLS,1936-10-07,5000,exhibition,1936
JAX193703290,HOM,JAX,1937-03-29,4000,exhibition,1937
PTC193704110,CI1,PTC,1937-04-11,1500,exhibition,1937
BIR193704251,CAG,BIR,1937-04-25,3000,exhibition,1937
BIR193704252,CAG,BIR,1937-04-25,3000,exhibition,1937
HOM193704252,PTC,HOM,1937-04-25,3700,exhibition,1937
PTC193704251,HOM,PTC,1937-04-25,3700,exhibition,1937
HOM193704270,PTC,HOM,1937-04-27,0,exhibition,1937
PH5193704280,PTC,PH5,1937-04-28,1000,exhibition,1937
MEM193705021,KCM,MEM,1937-05-02,0,exhibition,1937
MEM193705022,KCM,MEM,1937-05-02,0,exhibition,1937
IN6193705080,SSA,IN6,1937-05-08,0,regular,1937
PTC193705080,HOM,PTC,1937-05-08,2500,exhibition,1937
BIR193705091,KCM,BIR,1937-05-09,5000,regular,1937
BIR193705092,KCM,BIR,1937-05-09,5000,regular,1937
CI1193705090,DT2,CI1,1937-05-09,3000,regular,1937
IN6193705090,SSA,IN6,1937-05-09,0,regular,1937
ATN193705120,JAX,ATN,1937-05-12,3500,exhibition,1937
KCM193705130,CAG,KCM,1937-05-13,0,exhibition,1937
KCM193705140,CAG,KCM,1937-05-14,0,exhibition,1937
BIR193705150,SSA,BIR,1937-05-15,0,regular,1937
DT2193705150,CI1,DT2,1937-05-15,0,regular,1937
KCM193705150,CAG,KCM,1937-05-15,0,regular,1937
NW2193705150,HOM,NW2,1937-05-15,1000,regular,1937
PH5193705150,NY5,PH5,1937-05-15,5000,regular,1937
PTC193705151,WEG,PTC,1937-05-15,0,regular,1937
BIR193705161,SSA,BIR,1937-05-16,3000,regular,1937
BIR193705162,SSA,BIR,1937-05-16,3000,regular,1937
KCM193705161,CAG,KCM,1937-05-16,5000,regular,1937
KCM193705162,CAG,KCM,1937-05-16,5000,regular,1937
MEM193705161,IN6,MEM,1937-05-16,0,regular,1937
MEM193705162,IN6,MEM,1937-05-16,0,regular,1937
NW2193705161,HOM,NW2,1937-05-16,8000,regular,1937
NW2193705162,HOM,NW2,1937-05-16,8000,regular,1937
NY5193705161,PH5,NY5,1937-05-16,8500,regular,1937
NY5193705162,PH5,NY5,1937-05-16,8500,regular,1937
KCM193705170,CAG,KCM,1937-05-17,2700,regular,1937
NW2193705170,HOM,NW2,1937-05-17,1000,regular,1937
CAG193705220,BIR,CAG,1937-05-22,0,regular,1937
KCM193705220,CI1,KCM,1937-05-22,500,regular,1937
PH5193705221,NW2,PH5,1937-05-22,0,regular,1937
PH5193705222,NW2,PH5,1937-05-22,0,regular,1937
WEG193705220,PTC,WEG,1937-05-22,0,regular,1937
CAG193705231,BIR,CAG,1937-05-23,8000,regular,1937
CAG193705232,BIR,CAG,1937-05-23,8000,regular,1937
KCM193705231,CI1,KCM,1937-05-23,5000,regular,1937
KCM193705232,CI1,KCM,1937-05-23,5000,regular,1937
MEM193705231,SSA,MEM,1937-05-23,1500,regular,1937
